Index,M,T,W,H
18,"66773,66742,16677,16503,15423,26344,26053,15168,14907,14591,14371,14269,14216,14093,14026,nan","66710,66787,66785,66784,16668,15429,15420,15362,15328,15320,16334,16225,16218,14906,14905,14720,14729,14741,14700,14652,14419,14223,nan","66773,66742,16677,16503,15423,26344,26053,15168,14907,14591,14371,14269,14216,14093,14026,nan","66710,66787,66785,66784,16668,15429,15420,15362,15328,15320,16334,16225,16218,14906,14905,14720,14729,14741,14700,14652,14419,14223,nan"
19,"66742,16677,16510,16503,15423,26053,14907,14487,14371,14287,14227,14216,14093,14027,nan","66787,16668,16492,15722,15429,15398,15328,16334,16225,14906,14905,14652,14419,14399,14094,nan","66742,16677,16510,16503,15423,26053,14907,14487,14371,14287,14227,14216,14093,14027,nan","66787,16668,16492,15722,15429,15398,15328,16334,16225,14906,14905,14652,14419,14399,14094,nan"
20,"16677,15423,16305,16214,14907,14495,14487,14420,14287,14228,14227,14230,14216,14095,14091,nan","66722,16668,16492,15722,15398,15328,16225,16224,15169,14906,14800,14517,14399,14236,14094,nan","16677,15423,16305,16214,14907,14495,14487,14420,14287,14228,14227,14230,14216,14095,14091,nan","66722,16668,16492,15722,15398,15328,16225,16224,15169,14906,14800,14517,14399,14236,14094,nan"
21,"16677,16666,16548,16500,15412,16282,16305,15056,14907,14693,14509,14495,14420,14372,14228,14227,14230,14095,14091,nan","16671,16668,16492,15398,16322,16224,15169,14800,14517,14236,14094,nan","16677,16666,16548,16500,15412,16282,16305,15056,14907,14693,14509,14495,14420,14372,14228,14227,14230,14095,14091,nan","16671,16668,16492,15398,16322,16224,15169,14800,14517,14236,14094,nan"
22,"16666,15703,15419,16282,16305,15056,15055,15060,14693,14509,14495,14420,14372,14228,14095,14091,nan","16492,16224,16219,15178,15169,15064,15053,14800,14641,14094,14097,nan","16666,15703,15419,16282,16305,15056,15055,15060,14693,14509,14495,14420,14372,14228,14095,14091,nan","16492,16224,16219,15178,15169,15064,15053,14800,14641,14094,14097,nan"
23,"15703,15419,15381,15055,15060,14693,nan","16224,16219,15178,15169,15064,15053,14800,nan","15703,15419,15381,15055,15060,14693,nan","16224,16219,15178,15169,15064,15053,14800,nan"
24,"16675,16666,16667,16498,16502,16472,16508,15419,15380,15374,15333,15330,26344,26053,26377,26308,15227,15097,15094,15106,15092,15100,15098,14909,14393,14392,14372,14146,14027,nan","16678,16674,16671,16496,15096,15095,15099,15108,15093,15102,14906,14904,14905,14912,14896,14921,14917,14882,14702,14689,14662,14691,14652,14677,14671,14685,14673,14390,14380,14378,14375,14373,14121,14102,14096,14042,nan","16675,16666,16667,16498,16502,16472,16508,15419,15380,15374,15333,15330,26344,26053,26377,26308,15227,15097,15094,15106,15092,15100,15098,14909,14393,14392,14372,14146,14027,nan","16678,16674,16671,16496,15096,15095,15099,15108,15093,15102,14906,14904,14905,14912,14896,14921,14917,14882,14702,14689,14662,14691,14652,14677,14671,14685,14673,14390,14380,14378,14375,14373,14121,14102,14096,14042,nan"
25,"66725,66740,66736,66748,16709,16672,16666,16667,16548,16545,16540,16534,16504,16502,15894,15703,15702,15431,15412,15382,15367,15326,15314,26344,26053,26349,16280,14909,14786,14783,14789,14784,14787,14497,14393,14386,14372,14279,14222,14092,14095,14027,nan","66728,66775,66767,66763,66761,66765,66710,66704,66719,66701,66713,66734,66744,66731,66785,66791,66716,66784,66781,16703,16692,15477,15320,16319,16275,14729,14732,14735,14702,14700,14662,14691,14652,14677,14671,14666,14685,14673,14294,14207,14096,nan","66725,66740,66736,66748,16709,16672,16666,16667,16548,16545,16540,16534,16504,16502,15894,15703,15702,15431,15412,15382,15367,15326,15314,26344,26053,26349,16280,14909,14786,14783,14789,14784,14787,14497,14393,14386,14372,14279,14222,14092,14095,14027,nan","66728,66775,66767,66763,66761,66765,66710,66704,66719,66701,66713,66734,66744,66731,66785,66791,66716,66784,66781,16703,16692,15477,15320,16319,16275,14729,14732,14735,14702,14700,14662,14691,14652,14677,14671,14666,14685,14673,14294,14207,14096,nan"
26,"16706,16709,16672,16667,16534,16514,16504,16494,15440,15352,15326,16276,15180,15097,15094,15106,15092,15100,15098,15111,14812,14824,14836,14850,14846,14848,14772,14770,14640,14515,14495,14393,14392,14287,14269,14230,14027,nan","66728,66775,66767,66771,66763,66761,66710,66704,66701,66713,66734,66744,66731,66787,66791,66716,66789,66784,66781,16678,15722,15370,15328,16222,15172,14729,14732,14741,14662,14691,14654,14660,14671,14679,14666,14685,14506,14517,14519,14265,14207,14096,14042,nan","16706,16709,16672,16667,16534,16514,16504,16494,15440,15352,15326,16276,15180,15097,15094,15106,15092,15100,15098,15111,14812,14824,14836,14850,14846,14848,14772,14770,14640,14515,14495,14393,14392,14287,14269,14230,14027,nan","66728,66775,66767,66771,66763,66761,66710,66704,66701,66713,66734,66744,66731,66787,66791,66716,66789,66784,66781,16678,15722,15370,15328,16222,15172,14729,14732,14741,14662,14691,14654,14660,14671,14679,14666,14685,14506,14517,14519,14265,14207,14096,14042,nan"
27,"66777,66725,66740,66736,66783,66750,66746,16706,16711,16667,16540,15330,26007,26349,26308,16214,14701,14656,14675,14650,14693,14646,14515,14510,14509,nan","66728,66775,66771,66763,66761,66704,66719,66713,66734,66744,66731,66787,66785,66791,66779,66722,66716,66789,66781,16678,16528,16476,15370,15362,16334,16271,14904,14889,14912,14917,14882,14702,14700,14662,14677,14654,14660,14671,14679,14685,14673,14506,14516,14102,nan","66777,66725,66740,66736,66783,66750,66746,16706,16711,16667,16540,15330,26007,26349,26308,16214,14701,14656,14675,14650,14693,14646,14515,14510,14509,nan","66728,66775,66771,66763,66761,66704,66719,66713,66734,66744,66731,66787,66785,66791,66779,66722,66716,66789,66781,16678,16528,16476,15370,15362,16334,16271,14904,14889,14912,14917,14882,14702,14700,14662,14677,14654,14660,14671,14679,14685,14673,14506,14516,14102,nan"
